"","OBJECTID","OID_","COUNT","AREA","MIN","MAX","RANGE","MEAN","STD","SUM","date","YEAR","DAY","MONTH"
"1","-1","0","5372","9.32638888888889","0.480189204216003","42.1515998840332","41.6714106798172","1.51336649193394","3.17504846024156","8129.80479466915","2002182","2002","182",7
"2","-1","0","5426","9.42013888888889","0.539020657539368","46.4003791809082","45.8613585233688","1.29400101509474","2.00995186418505","7021.24950790405","2002213","2002","213",8
"3","-1","0","5406","9.38541666666667","0.399350345134735","49.0811767578125","48.6818264126778","1.27649616210539","1.86053343943034","6900.73825234175","2002244","2002","244",9
"4","-1","0","5223","9.06770833333333","0.236995071172714","55.7635040283203","55.5265089571476","1.30276643901795","2.13949173386428","6804.34911099076","2002274","2002","274",10
"5","-1","0","4911","8.52604166666667","0.254051268100739","15.5257682800293","15.2717170119286","1.05533290653359","0.852186738875292","5182.73990398645","2002305","2002","305",11
"6","-1","0","328","0.569444444444444","0.294495791196823","3.56332111358643","3.2688253223896","1.05231615710186","0.644139783889553","345.159699529409","2002335","2002","335",12
"7","-1","0","2709","4.703125","0.353122442960739","7.55860328674316","7.20548084378242","0.898196322027279","0.43854977980325","2433.2138363719","2003001","2003","001",1
"8","-1","0","2281","3.96006944444444","0.285791456699371","8.67133617401123","8.38554471731186","0.718498194716783","0.398398839363838","1638.89438214898","2003032","2003","032",2
"9","-1","0","2594","4.50347222222222","0.207957491278648","4.3013653755188","4.09340788424015","0.702280723908449","0.268272831326733","1821.71619781852","2003060","2003","060",3
"10","-1","0","5282","9.17013888888889","0.506317913532257","21.0402812957764","20.5339633822441","1.07749865543477","0.748452233933788","5691.34789800644","2003091","2003","091",4
"11","-1","0","5403","9.38020833333333","0.553967595100403","28.1345233917236","27.5805557966232","1.26962114753887","1.33189686386027","6859.76306015253","2003121","2003","121",5
"12","-1","0","5386","9.35069444444444","0.638634264469147","91.0396423339844","90.4010080695152","1.93615662674235","4.76875798911783","10428.1395916343","2003152","2003","152",6
"13","-1","0","5415","9.40104166666667","0.495662957429886","54.5943412780762","54.0986783206463","1.26434818331775","2.7524479750169","6846.44541266561","2003182","2003","182",7
"14","-1","0","5405","9.38368055555556","0.516052961349487","33.0901527404785","32.574099779129","1.05481481771575","2.1174277802083","5701.27408975363","2003213","2003","213",8
"15","-1","0","5397","9.36979166666667","0.550376236438751","30.3350830078125","29.7847067713737","1.02919244071566","1.11080462214531","5554.5516025424","2003244","2003","244",9
"16","-1","0","5429","9.42534722222222","0.604664921760559","20.7197227478027","20.1150578260422","1.11326506117427","0.754462157739291","6043.91601711512","2003274","2003","274",10
"17","-1","0","4575","7.94270833333333","0.206102281808853","9.27029895782471","9.06419667601585","0.854850741214439","0.513173354408414","3910.94214105606","2003305","2003","305",11
"18","-1","0","2657","4.61284722222222","0.269399136304855","11.464599609375","11.1952004730701","0.75020784431263","0.487704060313743","1993.30224233866","2003335","2003","335",12
"19","-1","0","1235","2.14409722222222","0.291718810796738","2.08405113220215","1.79233232140541","0.669229460148676","0.186537137703728","826.498383283615","2004001","2004","001",1
"20","-1","0","4579","7.94965277777778","0.324869483709335","4.16482162475586","3.83995214104652","0.798154315903708","0.221253119503751","3654.74861252308","2004032","2004","032",2
"21","-1","0","5195","9.01909722222222","0.487627804279327","53.4331741333008","52.9455463290215","0.885494793964419","0.97537949582744","4600.14545464516","2004061","2004","061",3
"22","-1","0","5392","9.36111111111111","0.543637156486511","26.742223739624","26.1985865831375","1.04339984143346","0.776577167341927","5626.01194500923","2004092","2004","092",4
"23","-1","0","5413","9.39756944444444","0.614869892597198","36.1374702453613","35.5226003527641","1.30264679988739","1.63147031639047","7051.22712779045","2004122","2004","122",5
"24","-1","0","5407","9.38715277777778","0.548044323921204","79.1638031005859","78.6157587766647","1.69283464440185","3.6256072923942","9153.15692228079","2004153","2004","153",6
"25","-1","0","5325","9.24479166666667","0.489877164363861","83.4927444458008","83.0028672814369","1.76275044315298","4.29253820654852","9386.64610978961","2004183","2004","183",7
"26","-1","0","5389","9.35590277777778","0.621246874332428","79.4144439697266","78.7931970953941","1.35428843403774","2.69439391937417","7298.26037102938","2004214","2004","214",8
"27","-1","0","5440","9.44444444444444","0.628746092319489","14.4932527542114","13.8645066618919","1.22730348238393","0.810793570403532","6676.53094416857","2004245","2004","245",9
"28","-1","0","5384","9.34722222222222","0.465428829193115","29.6712818145752","29.2058529853821","1.38092321074425","1.01986292989301","7434.89056664705","2004275","2004","275",10
"29","-1","0","5344","9.27777777777778","0.34185591340065","43.6024360656738","43.2605801522732","1.24478636567709","1.22340202967295","6652.1383381784","2004306","2004","306",11
"30","-1","0","10","0.017361111111111","1.1317982673645","1.81707096099853","0.685272693634033","1.48629810810089","0.239478879677226","14.8629810810089","2004336","2004","336",12
"31","-1","0","2524","4.38194444444444","0.251840829849243","8.18623638153076","7.93439555168152","0.712320410577129","0.346002677282661","1797.89671629667","2005001","2005","001",1
"32","-1","0","5039","8.74826388888889","0.259154200553894","5.94205379486084","5.68289959430695","0.803919208968861","0.305709445543908","4050.94889399409","2005032","2005","032",2
"33","-1","0","5025","8.72395833333333","0.35357940196991","4.12329769134521","3.76971828937531","0.784489456741371","0.218825688905956","3942.05952012539","2005060","2005","060",3
"34","-1","0","5402","9.37847222222222","0.607446789741516","25.2878246307373","24.6803778409958","1.04421640322942","0.941294814719447","5640.85701024532","2005091","2005","091",4
"35","-1","0","5414","9.39930555555556","0.487950801849365","43.4508857727051","42.9629349708557","1.1527678703784","1.85893164825179","6241.08525022864","2005121","2005","121",5
